Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	Clan 9	Clan 10	Clan 11	boot_average	boot_max	boot_min	boot_stdev
Tree 105	65	0	0	1	0	0	0	1	0	0	0	0	72.209679	100.000000	31.000000	22.210241
Tree 106	62	0	0	1	0	0	0	0	0	0	0	0	69.389832	100.000000	29.000000	21.904274
Tree 107	65	0	0	1	0	0	0	0	0	0	0	0	62.629032	100.000000	26.000000	25.641598
Tree 108	64	0	0	1	0	0	0	0	1	0	0	0	71.295082	100.000000	22.000000	23.268456
Tree 109	64	0	0	0	0	0	0	0	0	0	0	0	69.590164	100.000000	27.000000	21.020971
Tree 110	61	0	0	1	0	0	0	0	0	0	0	0	78.706894	100.000000	20.000000	21.669151
Tree 111	69	0	0	1	0	0	0	0	0	0	0	0	58.424244	100.000000	13.000000	25.061779
Tree 112	62	0	0	?	0	0	1	0	0	0	0	0	73.627121	100.000000	20.000000	22.699884
Tree 113	65	0	0	1	0	0	0	0	1	0	0	0	62.306450	100.000000	18.000000	24.582048
Tree 114	69	0	0	1	0	0	1	0	0	0	0	0	73.590912	100.000000	12.000000	25.696350
Tree 115	66	0	0	1	0	0	0	0	0	0	0	0	61.365078	100.000000	11.000000	25.512711
Tree 116	68	0	0	1	0	0	0	1	0	0	0	0	67.461540	100.000000	19.000000	21.344124
Tree 117	70	0	0	1	0	0	0	0	0	0	1	0	79.313431	100.000000	31.000000	19.082855
Tree 118	66	0	0	1	0	0	0	0	0	0	0	0	73.968254	100.000000	25.000000	23.079552
Tree 119	64	0	0	1	0	0	0	1	0	0	0	0	63.508198	100.000000	13.000000	27.343967
Tree 120	67	0	0	1	0	0	1	0	0	0	0	0	78.171875	100.000000	35.000000	17.876791
Tree 121	60	0	0	1	0	0	0	0	0	0	0	0	72.438599	100.000000	13.000000	24.987726
Tree 122	67	0	0	1	0	0	0	0	0	0	0	0	67.375000	100.000000	16.000000	26.682449
Tree 123	68	0	0	1	0	0	0	0	0	0	0	0	62.015385	100.000000	4.000000	28.572979
Tree 124	60	0	0	?	0	0	0	1	0	0	0	0	77.175438	100.000000	28.000000	19.346447
Tree 125	74	0	0	1	0	0	0	0	0	0	0	0	67.901405	100.000000	8.000000	26.661232
Tree 126	50	0	0	?	0	0	0	0	0	0	0	0	60.000000	100.000000	24.000000	23.368464
Tree 127	51	0	0	?	0	0	0	0	0	0	0	0	73.145836	100.000000	38.000000	18.767202
Tree 128	65	0	0	?	0	0	0	1	0	0	0	0	65.080643	100.000000	21.000000	24.745998
Tree 129	71	0	0	1	0	0	0	0	0	0	0	0	64.073532	100.000000	15.000000	26.122629
Tree 130	57	0	0	1	0	0	0	0	1	0	0	0	58.555557	100.000000	16.000000	22.990875
Tree 131	59	0	0	1	0	1	0	1	0	0	0	0	79.482140	100.000000	36.000000	22.227709
Tree 132	72	0	0	?	0	0	0	0	0	0	0	0	69.391304	100.000000	10.000000	19.765448
Tree 133	73	0	0	1	0	0	0	0	0	0	0	0	71.257141	100.000000	16.000000	25.161016
Tree 134	59	0	0	?	0	0	0	1	1	0	0	0	72.178574	100.000000	22.000000	23.324654
Tree 135	64	0	0	1	0	1	0	1	0	0	0	0	76.672134	100.000000	13.000000	24.647493
Tree 136	60	0	0	?	0	1	0	1	1	0	0	0	81.175438	100.000000	28.000000	19.210855
Tree 137	73	0	0	1	0	0	0	0	0	0	0	0	71.685715	100.000000	20.000000	23.834272
Tree 138	60	0	0	1	0	0	0	0	0	0	0	0	59.175438	100.000000	15.000000	27.067896
Tree 139	64	0	0	1	0	0	0	0	0	0	0	0	61.672131	100.000000	3.000000	26.936916
Tree 140	51	0	0	?	0	0	0	0	?	0	0	0	65.708336	100.000000	18.000000	24.395149
Tree 141	61	0	0	?	0	0	0	1	1	0	0	0	70.293106	100.000000	22.000000	22.403055
Tree 142	55	0	0	?	0	0	0	1	0	0	0	0	63.500000	100.000000	18.000000	27.611662
Tree 143	60	0	0	1	0	0	0	0	0	0	0	0	65.929825	100.000000	22.000000	22.135040
Tree 144	69	0	0	1	0	0	0	0	1	0	0	0	73.803032	100.000000	33.000000	19.470428
Tree 145	61	0	0	1	0	0	0	1	0	0	0	0	81.172417	100.000000	15.000000	19.367708
Tree 146	70	0	0	1	0	0	0	0	1	0	0	0	70.343285	100.000000	28.000000	21.861542
Tree 147	68	0	0	1	0	0	0	0	1	0	0	0	58.230770	100.000000	8.000000	25.312065
Tree 148	59	0	0	?	0	1	1	1	1	0	0	0	77.178574	100.000000	23.000000	24.581577
Tree 149	57	0	0	1	0	0	0	0	0	0	0	0	72.444443	100.000000	37.000000	17.950205
Tree 150	67	0	0	1	0	0	0	0	0	0	0	0	76.468750	100.000000	22.000000	20.281572
Tree 151	67	0	0	1	0	0	0	0	0	0	0	0	73.109375	100.000000	15.000000	23.845932
Tree 152	50	0	0	?	0	0	0	0	?	0	0	0	59.340427	100.000000	17.000000	24.588768
Tree 153	67	0	0	1	0	0	0	0	0	0	0	0	64.625000	100.000000	14.000000	25.421141
Tree 154	67	0	0	1	0	0	0	0	0	0	0	0	74.812500	100.000000	30.000000	19.059015
Tree 155	60	0	0	1	0	0	1	0	0	0	0	0	72.298248	100.000000	19.000000	27.858646
Tree 156	66	0	0	1	0	0	0	0	0	0	0	0	76.492065	100.000000	13.000000	25.443289
Tree 157	68	0	0	1	0	0	0	0	1	0	0	0	74.707695	100.000000	17.000000	24.052328
Tree 158	63	0	0	1	0	0	0	0	0	0	0	0	67.099998	100.000000	28.000000	23.433380
Tree 159	62	0	0	1	0	0	0	0	0	0	0	0	65.271187	100.000000	21.000000	21.226645
Tree 160	72	0	0	1	0	1	0	0	0	0	0	0	70.159424	100.000000	21.000000	23.609522
Tree 161	71	0	1	1	0	0	0	0	0	0	0	0	70.602943	100.000000	5.000000	26.220861
Tree 162	56	0	0	?	0	0	0	0	1	0	0	0	67.150940	100.000000	16.000000	22.779001
Tree 163	59	0	0	1	0	0	0	0	0	0	0	0	57.285713	100.000000	7.000000	23.704063
Tree 164	60	0	0	?	0	0	0	0	1	0	0	0	69.421051	100.000000	26.000000	23.813564
