Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	Clan 9	Clan 10	boot_average	boot_max	boot_min	boot_stdev
Tree 179	52	0	0	0	0	0	1	0	0	0	1	81.244896	100.000000	31.000000	20.202578
Tree 180	47	0	0	0	0	0	0	0	0	0	0	58.340908	100.000000	2.000000	32.430305
Tree 181	48	0	0	0	0	0	0	0	0	0	0	78.844444	100.000000	10.000000	25.382368
Tree 182	49	0	0	1	0	0	0	1	0	0	0	72.782608	100.000000	36.000000	22.367401
Tree 183	45	0	0	0	0	0	0	1	0	0	0	73.071426	100.000000	20.000000	23.883043
Tree 184	51	0	0	0	0	1	1	1	1	0	0	83.375000	100.000000	10.000000	25.212122
Tree 185	48	0	0	0	0	0	1	0	0	0	0	79.688889	100.000000	10.000000	23.301714
Tree 186	52	0	0	0	1	0	0	1	0	0	0	80.448982	100.000000	34.000000	22.176529
Tree 187	51	0	0	0	0	0	0	0	0	0	0	74.854164	100.000000	39.000000	18.498861
Tree 188	49	0	0	0	0	0	0	0	0	0	0	73.456520	100.000000	13.000000	26.187208
Tree 189	51	1	0	1	0	0	0	1	0	0	0	77.833336	100.000000	16.000000	23.001209
Tree 190	51	1	0	0	0	0	1	0	0	0	0	80.020836	100.000000	43.000000	19.847851
Tree 191	53	0	0	0	0	0	0	0	0	0	0	73.820000	100.000000	21.000000	24.678484
Tree 192	49	0	0	1	0	1	1	1	0	0	0	74.826088	100.000000	20.000000	26.161127
Tree 193	49	0	1	1	1	0	0	1	0	0	0	79.717392	100.000000	10.000000	23.577497
Tree 194	53	0	0	0	0	0	0	0	0	0	0	70.440002	100.000000	23.000000	24.624506
Tree 195	47	0	1	0	0	0	0	0	0	0	0	66.977272	100.000000	19.000000	26.490555
Tree 196	48	1	0	0	0	0	0	0	0	0	0	69.800003	100.000000	25.000000	25.378557
Tree 197	47	0	1	0	0	0	0	0	0	0	0	72.136360	100.000000	24.000000	25.990025
Tree 198	45	0	1	0	0	0	1	0	0	0	0	75.428574	100.000000	23.000000	24.643307
Tree 199	50	0	0	0	1	0	0	0	0	0	0	68.148933	100.000000	24.000000	24.127304
Tree 200	56	0	0	0	0	0	1	0	0	0	0	77.584908	100.000000	30.000000	22.493130
Tree 201	56	0	1	0	0	0	1	0	0	0	0	74.207550	100.000000	6.000000	28.172888
Tree 202	52	0	0	0	0	0	0	0	0	0	0	75.979591	100.000000	21.000000	22.803947
Tree 203	48	0	0	1	0	0	0	1	1	0	0	75.333336	100.000000	20.000000	25.882639
Tree 204	51	0	0	0	0	1	0	1	0	0	0	74.729164	100.000000	12.000000	26.212069
Tree 205	54	0	0	0	0	0	0	1	0	0	0	74.196075	100.000000	9.000000	28.415699
Tree 206	49	0	0	0	0	0	1	1	0	0	0	75.217392	100.000000	30.000000	24.171410
Tree 207	53	0	0	0	0	1	0	0	0	0	0	84.019997	100.000000	32.000000	21.032824
Tree 208	46	0	0	0	0	0	0	0	0	0	0	63.930233	100.000000	6.000000	30.486286
Tree 209	43	0	1	0	1	0	0	1	0	0	1	74.900002	100.000000	17.000000	26.120682
Tree 210	51	0	0	0	0	0	1	0	0	0	0	76.229164	100.000000	31.000000	24.079071
Tree 211	45	0	0	1	0	0	0	0	0	0	0	76.119049	100.000000	29.000000	23.989286
Tree 212	54	0	0	0	0	0	0	0	0	0	0	74.098038	100.000000	23.000000	23.304680
Tree 213	50	0	0	1	0	0	0	0	0	0	0	76.851067	100.000000	15.000000	24.206539
Tree 214	52	0	0	1	0	0	0	1	0	0	0	71.755104	100.000000	18.000000	27.375341
Tree 215	47	0	0	0	0	0	0	0	0	0	0	68.477272	100.000000	18.000000	26.371029
Tree 216	45	0	0	0	0	0	0	0	0	0	0	69.761902	100.000000	17.000000	25.966839
Tree 217	43	1	0	0	0	1	0	0	0	0	0	74.625000	100.000000	26.000000	21.183352
Tree 218	45	0	0	0	0	0	1	0	0	0	0	69.261902	100.000000	24.000000	23.080666
Tree 219	51	0	0	0	0	0	0	1	0	0	0	73.541664	100.000000	20.000000	25.739849
Tree 220	47	0	0	0	1	0	0	0	0	0	0	72.318184	100.000000	8.000000	29.677641
Tree 221	46	0	1	0	0	0	0	1	0	0	0	74.000000	100.000000	4.000000	32.214397
Tree 222	46	0	1	0	0	0	0	0	0	0	0	71.395348	100.000000	39.000000	22.018112
Tree 223	56	0	1	0	0	0	1	0	0	0	1	81.603775	100.000000	32.000000	20.005980
Tree 224	53	0	0	0	0	0	0	1	0	0	0	76.500000	100.000000	18.000000	24.303293
Tree 225	46	0	0	0	0	0	0	1	0	0	0	72.162788	100.000000	19.000000	28.790283
Tree 226	54	0	0	0	0	0	0	0	0	0	0	67.411766	100.000000	28.000000	23.604731
Tree 227	45	0	0	0	0	0	0	0	0	0	0	59.190475	100.000000	18.000000	24.846420
Tree 228	53	0	0	0	0	0	0	1	0	0	0	80.120003	100.000000	24.000000	24.806160
Tree 229	49	0	0	0	0	0	0	1	0	0	0	80.478264	100.000000	32.000000	22.384716
Tree 230	56	1	0	0	0	0	0	1	0	0	1	85.339622	100.000000	34.000000	18.735439
Tree 231	48	0	0	0	0	0	0	0	0	0	0	79.666664	100.000000	23.000000	20.487392
Tree 232	48	1	0	0	0	0	0	0	0	0	0	74.644447	100.000000	25.000000	22.072763
Tree 233	53	0	0	0	0	0	1	0	0	0	1	78.220001	100.000000	40.000000	19.662439
Tree 234	55	1	1	0	0	1	0	0	1	0	0	83.634613	100.000000	41.000000	15.734613
Tree 235	53	0	0	0	0	0	1	0	0	0	1	79.480003	100.000000	21.000000	21.807558
Tree 236	54	0	0	0	0	0	0	1	0	0	0	74.980392	100.000000	10.000000	27.296839
Tree 237	43	0	0	0	0	0	1	1	1	0	0	78.050003	100.000000	24.000000	23.680107
Tree 238	51	1	1	0	0	0	1	1	1	0	0	85.354164	100.000000	42.000000	19.480215
Tree 239	49	1	1	1	0	0	0	0	1	0	1	87.065216	100.000000	31.000000	18.258293
Tree 240	52	0	1	0	0	0	1	0	0	0	0	72.877548	100.000000	11.000000	25.785322
Tree 241	46	0	0	0	0	0	0	0	0	0	0	72.837212	100.000000	30.000000	22.264719
Tree 242	52	0	0	0	0	0	0	0	0	0	0	71.142860	100.000000	12.000000	30.975300
Tree 243	50	0	0	0	0	0	0	0	0	0	0	69.382980	100.000000	6.000000	28.121737
Tree 244	47	0	1	0	0	0	1	1	1	0	1	77.477272	100.000000	31.000000	18.025852
Tree 245	45	0	0	0	0	1	0	1	0	0	0	65.285713	100.000000	15.000000	28.281986
Tree 246	50	0	1	0	0	0	0	0	0	0	0	69.021278	100.000000	13.000000	24.157719
Tree 247	56	0	1	1	0	0	0	1	0	0	0	81.037735	100.000000	17.000000	23.143492
Tree 248	51	1	1	1	0	1	1	1	1	0	0	84.604164	100.000000	32.000000	17.515160
Tree 249	48	0	0	0	0	0	0	0	0	0	0	64.377777	100.000000	11.000000	30.165684
Tree 250	45	0	1	0	0	0	0	0	0	0	0	71.333336	100.000000	16.000000	25.513458
Tree 251	54	1	1	0	0	1	1	0	1	0	1	79.921570	100.000000	25.000000	22.058605
Tree 252	44	0	0	0	0	0	0	0	0	0	0	66.975609	100.000000	13.000000	28.619022
Tree 253	53	0	0	0	0	0	0	0	0	0	0	73.500000	100.000000	37.000000	21.318771
Tree 254	55	1	0	0	0	0	0	1	0	0	1	77.615387	100.000000	22.000000	24.706081
Tree 255	53	0	0	0	0	0	0	0	0	0	0	62.099998	100.000000	15.000000	27.409668
Tree 256	54	0	0	0	0	1	0	0	0	0	0	75.254906	100.000000	4.000000	27.909409
Tree 257	52	0	0	0	0	0	0	1	0	0	0	76.816330	100.000000	22.000000	25.384932
Tree 258	48	0	1	1	0	1	0	0	1	0	0	73.266670	100.000000	13.000000	25.205292
Tree 259	53	0	0	0	0	0	1	1	0	0	1	82.480003	100.000000	14.000000	24.016863
Tree 260	51	0	0	0	0	0	0	1	0	0	0	74.208336	100.000000	6.000000	28.785091
Tree 261	44	0	0	0	0	0	0	1	0	0	0	64.146339	100.000000	11.000000	28.609703
Tree 262	54	0	0	0	0	0	0	0	0	0	0	78.470589	100.000000	7.000000	23.709311
Tree 263	53	0	0	0	0	0	0	0	0	0	0	70.680000	100.000000	22.000000	26.122360
Tree 264	50	0	1	0	0	0	0	0	0	0	0	79.808510	100.000000	32.000000	23.271423
Tree 265	54	1	1	0	0	0	1	0	0	0	1	82.254906	100.000000	36.000000	20.021404
Tree 266	52	1	0	0	0	0	0	0	0	0	0	73.653061	100.000000	8.000000	28.319281
Tree 267	53	0	0	0	0	0	0	1	0	0	0	73.820000	100.000000	26.000000	22.732964
Tree 268	50	0	0	0	0	0	0	1	0	0	0	67.106384	100.000000	1.000000	32.995960
Tree 269	47	0	0	0	0	0	1	0	1	0	1	84.954544	100.000000	37.000000	18.638859
Tree 270	46	1	1	1	0	0	0	1	1	0	1	82.953491	100.000000	29.000000	17.714733
