Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	boot_average	boot_max	boot_min	boot_stdev
Tree 104	16	0	0	0	?	0	?	0	0	40.538460	96.000000	10.000000	24.923315
Tree 105	21	0	0	0	0	0	0	1	0	46.777779	100.000000	7.000000	25.956278
Tree 106	17	?	0	0	0	0	0	1	0	35.785713	86.000000	7.000000	26.563076
Tree 107	19	0	0	0	0	0	0	0	0	52.187500	95.000000	18.000000	19.049995
Tree 108	20	0	0	0	0	0	0	0	0	51.176472	100.000000	16.000000	28.436171
Tree 109	18	0	0	0	0	0	0	0	1	48.066666	66.000000	19.000000	14.238290
Tree 110	23	0	0	0	0	0	0	0	0	49.549999	100.000000	16.000000	24.030138
Tree 111	18	0	0	0	?	0	0	0	0	54.000000	99.000000	25.000000	20.639767
Tree 112	23	0	0	1	1	0	0	0	0	52.849998	100.000000	19.000000	23.628956
Tree 113	17	0	0	0	?	0	0	0	0	60.642857	100.000000	28.000000	22.515413
Tree 114	18	0	0	0	1	0	1	1	0	51.533333	100.000000	12.000000	29.874998
Tree 115	18	0	0	0	0	0	0	0	0	51.466667	100.000000	14.000000	24.035713
Tree 116	20	0	0	0	0	0	0	0	1	54.058823	100.000000	13.000000	27.851435
Tree 117	23	0	0	0	0	0	1	0	0	56.599998	99.000000	9.000000	27.988211
Tree 118	20	0	0	0	0	0	0	0	1	54.058823	99.000000	15.000000	22.232649
Tree 119	16	0	0	0	0	0	?	0	0	46.153847	99.000000	13.000000	25.148317
Tree 120	16	0	0	0	0	0	?	0	0	51.846153	91.000000	17.000000	24.728825
Tree 121	20	0	0	0	0	0	?	0	0	38.764706	62.000000	17.000000	12.002596
Tree 122	21	0	0	0	0	0	0	1	0	47.666668	100.000000	2.000000	28.110891
Tree 123	21	0	0	0	1	0	0	0	0	47.555557	98.000000	12.000000	20.064404
Tree 124	20	0	0	0	1	0	0	0	0	53.000000	100.000000	17.000000	26.448618
Tree 125	18	0	0	0	?	0	1	1	1	62.266666	98.000000	28.000000	18.901382
Tree 126	18	1	0	0	?	0	0	0	1	61.533333	100.000000	30.000000	23.038712
Tree 127	19	0	0	0	1	0	1	1	1	61.000000	99.000000	23.000000	27.168455
Tree 128	16	?	0	0	?	0	0	1	0	61.846153	100.000000	11.000000	23.579149
Tree 129	21	0	0	0	0	0	0	1	1	62.722221	100.000000	12.000000	24.986231
Tree 130	20	0	0	0	0	0	0	0	1	56.352940	100.000000	14.000000	21.624989
Tree 131	16	0	0	0	0	0	0	0	0	54.076923	69.000000	37.000000	11.585545
Tree 132	20	0	0	0	0	0	?	0	1	50.764706	100.000000	15.000000	24.747023
Tree 133	18	1	0	0	0	0	?	1	0	54.599998	100.000000	17.000000	26.145235
Tree 134	17	0	0	0	0	0	0	0	0	47.428570	89.000000	18.000000	22.635984
Tree 135	16	1	1	0	0	1	?	0	1	67.923080	100.000000	40.000000	17.455267
Tree 136	20	0	0	0	0	0	0	1	0	41.294117	78.000000	10.000000	18.148941
Tree 137	20	0	0	0	?	0	0	0	0	50.411766	96.000000	23.000000	19.885138
Tree 138	22	0	0	0	0	1	0	0	0	45.473682	89.000000	18.000000	16.304239
Tree 139	18	0	0	0	0	0	?	0	0	48.866665	98.000000	14.000000	26.834969
Tree 140	19	0	0	0	0	0	0	0	0	44.000000	87.000000	3.000000	24.779024
Tree 141	18	0	0	0	0	0	0	1	0	48.000000	100.000000	16.000000	26.260235
Tree 142	20	0	0	0	0	0	0	0	0	39.705883	88.000000	1.000000	22.740906
Tree 143	17	0	0	0	?	0	0	0	0	62.500000	100.000000	28.000000	22.999224
Tree 144	23	0	0	0	0	0	0	0	0	52.900002	95.000000	14.000000	22.589600
Tree 145	16	0	0	0	1	0	0	1	0	53.384617	90.000000	12.000000	23.348656
Tree 146	19	0	0	0	1	0	?	1	0	53.062500	98.000000	15.000000	26.745255
Tree 147	22	0	1	0	1	0	0	1	0	65.315788	99.000000	31.000000	19.352827
Tree 148	17	0	0	0	1	0	?	1	0	47.285713	94.000000	12.000000	24.140743
Tree 149	19	1	1	0	0	0	1	1	0	74.062500	100.000000	48.000000	16.690075
Tree 150	16	1	1	0	?	0	1	1	0	62.153847	100.000000	17.000000	26.861027
Tree 151	24	0	0	0	0	0	0	0	0	57.428570	99.000000	19.000000	21.907972
Tree 152	23	0	0	0	0	0	0	0	0	56.000000	100.000000	21.000000	19.626513
Tree 153	19	0	0	0	0	0	?	1	0	46.875000	99.000000	8.000000	28.257465
Tree 154	21	0	0	0	?	0	0	0	0	58.333332	95.000000	7.000000	23.125263
Tree 155	20	0	0	0	?	0	0	0	0	48.294117	98.000000	17.000000	25.485323
Tree 156	18	0	0	1	?	1	1	1	0	59.333332	100.000000	9.000000	29.711201
Tree 157	18	0	0	0	0	0	0	1	0	50.066666	91.000000	4.000000	26.205513
Tree 158	18	0	0	0	?	0	0	0	0	48.466667	90.000000	15.000000	21.914581
Tree 159	16	0	0	0	0	0	?	1	1	61.461540	100.000000	23.000000	24.374058
Tree 160	18	0	0	0	0	0	0	0	1	48.066666	99.000000	20.000000	24.098316
Tree 161	20	0	0	0	0	0	0	0	0	46.058823	87.000000	15.000000	20.423374
Tree 162	18	0	0	0	0	0	1	1	1	58.266666	95.000000	18.000000	25.921591
Tree 163	20	0	0	0	?	0	0	0	0	43.647060	92.000000	18.000000	20.393024
Tree 164	16	0	0	0	?	0	?	1	1	53.538460	88.000000	29.000000	16.900684
Tree 165	18	0	0	1	0	0	?	1	1	58.400002	98.000000	18.000000	20.577658
Tree 166	15	0	0	0	1	0	?	1	0	55.833332	97.000000	20.000000	21.098316
Tree 167	17	0	0	0	?	0	0	0	1	47.642857	99.000000	3.000000	25.415426
Tree 168	20	0	0	0	?	0	0	0	0	52.000000	100.000000	15.000000	24.831196
Tree 169	15	0	0	0	0	0	0	0	0	52.416668	99.000000	23.000000	24.682850
Tree 170	17	0	0	0	0	0	0	1	1	63.214287	99.000000	27.000000	24.092615
Tree 171	16	0	0	0	?	0	?	0	0	44.076923	97.000000	22.000000	20.378954
Tree 172	16	0	0	0	0	0	?	0	0	49.384617	100.000000	20.000000	25.073854
Tree 173	20	0	0	0	0	0	0	0	0	58.705883	92.000000	28.000000	16.505844
Tree 174	16	0	0	0	0	0	?	0	0	50.692307	73.000000	12.000000	15.607615
Tree 175	16	1	0	0	?	0	0	1	0	47.769230	81.000000	11.000000	22.874756
Tree 176	19	0	0	0	0	0	?	0	0	40.750000	92.000000	21.000000	18.552292
